N,P,K,temperature,humidity,ph,rainfall,label
122,70,62,28.67,71.3,7.53,126.56,Wheat
124,74,62,28.48,75.06,7.38,131.08,Wheat
122,71,65,28.05,73.87,7.6,125.23,Wheat
124,71,66,29.43,72.79,7.28,127.62,Wheat
123,70,59,29.11,73.51,7.27,125.75,Wheat
122,70,64,28.7,73.34,7.37,124.55,Wheat
125,76,66,28.65,74.09,7.44,122.22,Wheat
123,73,64,28.97,71.47,7.25,121.42,Wheat
124,73,60,29.89,73.95,7.42,120.03,Wheat
126,73,65,29.93,74.7,7.37,128.44,Wheat
121,74,66,29.04,74.32,7.34,118.82,Wheat
125,72,65,28.86,74.95,7.43,126.54,Wheat
122,69,64,28.56,71.71,7.43,120.95,Wheat
123,73,65,27.96,73.64,7.37,122.43,Wheat
121,75,64,29.57,74.88,7.37,124.97,Wheat
124,73,61,29.44,72.28,7.39,118.06,Wheat
122,69,64,29.12,71.66,7.47,121.91,Wheat
121,69,61,29.75,72.74,7.31,126.53,Wheat
125,71,62,28.3,73.1,7.58,125.95,Wheat
125,67,64,29.23,73.67,7.34,121.09,Wheat
126,70,62,29.07,73.15,7.26,123.68,Wheat
126,71,64,29.15,74.68,7.32,123.25,Wheat
122,73,63,29.2,73.3,7.39,119.5,Wheat
125,72,65,29.61,75.67,7.43,124.19,Wheat
123,74,64,28.6,74.8,7.47,120.6,Wheat
121,71,65,28.5,75.44,7.38,124.02,Wheat
121,68,67,28.11,72.54,7.56,126.0,Wheat
123,70,65,29.71,69.89,7.28,120.26,Wheat
125,73,63,29.13,74.58,7.43,125.38,Wheat
123,73,62,29.02,73.27,7.19,127.7,Wheat
124,70,60,28.94,73.15,7.59,128.95,Wheat
122,70,62,29.37,72.09,7.49,127.28,Wheat
126,72,63,28.56,73.59,7.46,127.64,Wheat
123,71,65,28.95,74.76,7.46,131.45,Wheat
123,70,62,28.11,73.37,7.39,128.73,Wheat
122,72,62,28.57,72.25,7.25,127.03,Wheat
126,72,60,28.92,72.14,7.3,126.56,Wheat
126,74,61,28.11,71.69,7.41,128.32,Wheat
120,72,64,28.89,74.21,7.56,130.43,Wheat
124,72,63,29.13,75.91,7.37,126.14,Wheat
122,75,58,28.38,72.18,7.33,130.28,Wheat
128,76,58,29.04,73.06,7.37,123.25,Wheat
128,74,60,28.56,73.02,7.5,129.99,Wheat
121,72,61,29.58,72.35,7.45,124.35,Wheat
125,70,63,28.4,75.31,7.5,121.88,Wheat
123,70,62,30.7,74.28,7.45,127.11,Wheat
127,79,61,28.33,72.59,7.37,121.82,Wheat
127,72,63,28.91,71.72,7.34,125.36,Wheat
124,72,67,29.86,74.13,7.33,120.65,Wheat
128,71,65,29.25,72.45,7.37,119.92,Wheat
124,73,63,27.92,72.07,7.27,122.44,Wheat
124,73,65,29.0,72.73,7.46,124.74,Wheat
122,70,62,29.37,70.58,7.39,117.58,Wheat
123,75,62,29.06,71.73,7.37,124.11,Wheat
125,72,63,28.31,73.35,7.43,129.56,Wheat
125,75,65,29.15,73.4,7.52,121.32,Wheat
127,71,66,29.04,71.66,7.46,124.35,Wheat
122,72,62,29.03,72.68,7.46,124.47,Wheat
119,72,64,29.72,76.09,7.51,127.36,Wheat
124,71,62,29.26,73.11,7.46,130.61,Wheat
122,75,63,28.41,72.76,7.33,124.64,Wheat
125,73,63,28.45,71.54,7.48,122.65,Wheat
126,72,62,28.72,75.16,7.52,117.59,Wheat
123,71,63,30.12,74.2,7.65,123.68,Wheat
122,70,62,29.13,73.91,7.55,124.0,Wheat
121,73,62,28.47,74.42,7.3,121.05,Wheat
122,74,61,28.62,73.77,7.58,127.27,Wheat
124,68,65,29.07,73.35,7.34,123.2,Wheat
122,71,65,28.06,72.72,7.22,126.29,Wheat
125,73,67,28.49,73.64,7.5,119.04,Wheat
126,72,60,28.62,71.7,7.36,130.81,Wheat
123,73,64,28.04,72.55,7.58,120.8,Wheat
123,72,68,28.94,73.53,7.27,128.19,Wheat
124,70,63,29.8,71.6,7.45,127.71,Wheat
127,74,62,29.45,74.11,7.36,130.31,Wheat
121,72,67,29.9,69.85,7.37,119.28,Wheat
127,74,62,28.96,76.41,7.38,126.92,Wheat
125,70,63,28.61,76.11,7.39,124.39,Wheat
121,69,61,28.35,73.44,7.4,124.66,Wheat
125,73,63,29.07,73.92,7.4,122.35,Wheat
126,74,64,29.52,74.24,7.33,129.73,Wheat
124,73,61,28.25,72.53,7.4,127.2,Wheat
120,71,62,29.07,72.83,7.38,124.0,Wheat
124,72,65,29.85,74.53,7.53,123.78,Wheat
124,75,64,29.79,72.14,7.32,120.37,Wheat
124,70,66,29.26,73.45,7.47,128.87,Wheat
124,71,63,29.71,71.75,7.32,121.02,Wheat
124,70,62,29.2,74.08,7.47,126.54,Wheat
123,72,64,29.68,72.49,7.26,124.97,Wheat
122,72,63,30.09,71.08,7.29,127.37,Wheat
121,70,64,28.4,73.18,7.43,123.89,Wheat
122,71,65,27.51,71.85,7.5,127.09,Wheat
123,69,66,30.19,69.77,7.33,122.21,Wheat
123,73,60,29.59,71.22,7.29,121.95,Wheat
126,69,64,28.89,71.83,7.27,125.05,Wheat
126,72,60,28.73,75.13,7.41,122.69,Wheat
122,72,66,29.38,72.02,7.33,119.69,Wheat
125,72,64,28.89,72.98,7.34,125.55,Wheat
119,70,65,28.37,72.21,7.41,127.22,Wheat
121,68,64,28.22,74.42,7.46,129.01,Wheat
125,68,64,29.17,73.99,7.49,126.39,Wheat
124,71,64,28.49,73.9,7.27,120.41,Wheat
123,74,61,27.86,71.55,7.37,119.55,Wheat
122,73,64,29.69,74.07,7.4,116.31,Wheat
127,75,65,29.7,74.07,7.4,122.26,Wheat
127,71,66,29.13,74.03,7.28,127.7,Wheat
122,73,62,28.66,75.0,7.31,121.11,Wheat
124,71,64,29.48,70.65,7.42,123.9,Wheat
124,71,63,28.64,72.31,7.51,120.88,Wheat
123,68,63,28.32,75.73,7.43,124.97,Wheat
126,72,65,28.82,74.21,7.24,124.3,Wheat
125,74,66,29.09,74.05,7.4,124.97,Wheat
125,72,61,28.57,74.07,7.44,124.55,Wheat
127,71,63,28.9,73.65,7.39,125.3,Wheat
121,75,63,28.26,69.73,7.42,122.99,Wheat
126,74,62,28.16,71.52,7.25,123.53,Wheat
128,69,66,29.57,72.56,7.51,120.06,Wheat
121,69,65,29.18,70.32,7.31,119.48,Wheat
121,71,61,29.81,73.72,7.5,125.52,Wheat
128,70,63,29.82,72.88,7.35,118.63,Wheat
128,73,64,29.46,73.16,7.28,123.0,Wheat
125,75,64,29.04,74.51,7.37,121.03,Wheat
125,66,65,29.6,73.01,7.46,123.68,Wheat
124,71,64,28.72,72.72,7.47,124.13,Wheat
121,69,64,28.65,74.21,7.33,127.3,Wheat
120,71,62,29.87,71.17,7.34,127.24,Wheat
125,72,66,29.42,72.66,7.46,124.63,Wheat
125,73,63,28.35,70.61,7.47,120.57,Wheat
122,66,62,28.13,73.35,7.47,122.44,Wheat
123,73,63,28.68,72.51,7.34,124.31,Wheat
123,73,63,28.32,73.64,7.4,127.23,Wheat
126,73,63,29.51,74.21,7.47,125.61,Wheat
123,69,64,28.88,74.18,7.24,127.06,Wheat
120,69,61,28.92,73.69,7.37,118.35,Wheat
124,67,64,29.33,73.96,7.45,129.1,Wheat
81,55,50,41.65,64.11,8.08,100.45,Bajra
79,55,52,43.2,61.53,7.94,103.56,Bajra
84,49,50,42.25,62.51,7.9,100.89,Bajra
75,52,51,41.1,60.34,7.82,99.03,Bajra
79,55,47,42.5,61.9,8.26,105.97,Bajra
81,54,48,41.8,62.45,7.92,107.45,Bajra
79,53,48,42.64,62.31,7.83,102.44,Bajra
80,55,51,42.85,62.31,8.13,99.85,Bajra
80,53,49,41.31,61.76,7.94,100.65,Bajra
78,59,51,41.7,60.54,7.9,102.37,Bajra
79,51,49,42.39,61.38,7.99,105.38,Bajra
78,51,51,41.59,62.88,8.0,103.8,Bajra
78,58,51,41.76,60.7,7.84,106.87,Bajra
79,54,49,41.66,63.18,8.02,102.39,Bajra
81,55,49,42.1,63.32,8.14,107.73,Bajra
77,50,48,41.94,63.13,7.91,106.91,Bajra
85,56,49,42.7,59.93,7.89,99.51,Bajra
81,54,53,43.43,61.76,8.1,106.39,Bajra
78,54,48,42.19,62.36,8.07,104.95,Bajra
81,53,50,41.87,62.81,8.07,105.08,Bajra
81,49,52,42.11,63.54,8.09,105.28,Bajra
81,57,49,42.4,64.97,7.9,105.37,Bajra
79,51,46,41.36,63.45,7.89,103.52,Bajra
78,56,48,42.31,60.21,8.22,108.81,Bajra
77,56,49,40.95,63.78,7.84,102.15,Bajra
77,54,49,42.58,62.14,8.11,106.88,Bajra
80,54,48,41.99,62.01,8.06,101.0,Bajra
79,54,50,42.61,62.37,7.96,97.8,Bajra
77,53,49,41.43,61.26,7.98,106.0,Bajra
78,54,44,42.13,62.67,7.86,107.75,Bajra
80,55,48,41.62,62.1,8.05,102.14,Bajra
78,51,49,41.42,63.97,7.99,105.69,Bajra
78,49,49,42.37,62.66,8.02,103.55,Bajra
83,51,50,42.46,59.81,7.99,100.7,Bajra
77,53,47,41.56,60.06,8.03,107.1,Bajra
80,51,49,41.43,59.31,7.99,106.69,Bajra
77,54,50,41.61,62.8,8.16,105.82,Bajra
78,55,50,42.51,61.46,7.87,103.92,Bajra
77,53,50,41.35,62.8,8.02,103.94,Bajra
78,53,52,41.19,60.89,7.99,103.46,Bajra
83,54,50,41.95,61.6,8.0,105.34,Bajra
81,53,50,42.32,63.16,8.17,101.92,Bajra
83,55,47,42.09,62.03,7.91,104.59,Bajra
77,54,53,42.39,60.82,7.91,102.69,Bajra
80,54,47,42.23,60.27,7.94,102.16,Bajra
78,51,53,42.85,62.33,8.07,110.49,Bajra
78,58,48,43.21,59.1,8.03,103.75,Bajra
75,53,51,41.89,59.7,7.84,107.46,Bajra
79,50,50,41.52,61.17,8.22,103.94,Bajra
80,49,46,42.77,60.46,7.97,103.32,Bajra
80,52,48,42.36,61.69,8.05,99.7,Bajra
83,53,51,41.86,63.2,7.83,102.74,Bajra
82,54,51,40.94,61.26,7.86,102.32,Bajra
80,51,51,40.77,61.69,7.97,108.58,Bajra
78,52,50,41.9,61.24,7.86,104.39,Bajra
78,54,51,41.65,59.28,7.99,103.18,Bajra
77,51,53,41.81,64.1,7.81,104.16,Bajra
78,51,48,42.89,64.77,8.01,105.19,Bajra
79,50,46,42.04,60.72,7.99,99.74,Bajra
76,55,46,42.28,59.91,8.0,104.97,Bajra
78,56,47,41.7,62.65,7.8,99.88,Bajra
77,53,53,41.48,63.09,8.15,107.14,Bajra
82,53,50,42.81,60.97,7.93,99.55,Bajra
76,56,50,41.83,61.26,8.13,104.37,Bajra
81,57,50,41.43,60.48,8.09,99.45,Bajra
83,53,47,42.64,62.62,7.97,105.42,Bajra
78,55,50,41.77,63.37,7.96,103.37,Bajra
81,52,46,43.29,61.89,7.96,105.02,Bajra
79,53,50,41.94,59.87,8.01,106.14,Bajra
79,52,50,41.53,61.05,7.93,101.16,Bajra
81,53,51,42.04,63.1,7.94,104.01,Bajra
82,55,49,42.09,61.44,7.9,103.7,Bajra
76,54,49,42.07,62.07,8.02,106.61,Bajra
79,55,51,42.17,62.41,7.97,107.07,Bajra
82,60,49,41.48,62.99,8.1,99.01,Bajra
80,48,51,41.27,61.39,8.04,106.45,Bajra
76,51,53,42.08,63.7,7.97,96.59,Bajra
85,53,52,41.88,61.13,7.94,107.62,Bajra
81,51,51,41.85,61.28,8.03,102.63,Bajra
81,54,49,42.74,61.52,7.91,105.22,Bajra
78,51,49,42.67,61.28,7.97,109.44,Bajra
81,56,49,41.55,58.77,8.18,103.69,Bajra
79,52,51,42.05,62.52,7.99,109.65,Bajra
81,54,51,42.52,59.64,8.07,103.89,Bajra
78,51,49,41.08,65.57,8.26,103.02,Bajra
79,53,48,42.21,62.41,7.89,104.62,Bajra
76,54,50,41.63,62.11,7.9,108.0,Bajra
79,54,48,41.71,62.42,8.06,104.06,Bajra
84,51,50,42.11,62.35,7.98,99.73,Bajra
78,54,52,41.07,64.2,8.07,106.71,Bajra
78,55,47,43.17,60.59,7.9,108.59,Bajra
82,60,48,42.12,62.45,8.09,103.97,Bajra
80,55,50,42.1,63.02,8.07,101.55,Bajra
78,51,50,42.1,62.19,8.02,104.02,Bajra
78,52,49,42.53,62.22,7.88,100.88,Bajra
82,54,48,41.03,63.18,7.9,104.28,Bajra
78,55,51,42.23,61.51,7.87,107.28,Bajra
77,53,47,41.1,63.44,8.03,106.64,Bajra
79,53,52,42.14,62.74,7.82,105.73,Bajra
81,55,50,40.86,61.29,8.02,104.4,Bajra
81,56,50,41.07,64.26,7.92,105.08,Bajra
78,52,49,42.05,61.96,7.92,102.95,Bajra
81,47,49,41.21,64.74,8.1,102.62,Bajra
80,52,48,41.79,63.69,7.99,106.3,Bajra
80,53,47,41.73,59.29,7.89,102.68,Bajra
78,51,46,41.46,60.31,7.92,100.35,Bajra
80,53,47,42.32,63.27,8.25,100.33,Bajra
81,54,47,42.05,58.39,8.06,101.15,Bajra
79,53,50,42.62,60.83,8.05,100.18,Bajra
76,56,48,42.28,63.22,7.96,108.48,Bajra
77,55,48,41.9,60.65,8.03,101.21,Bajra
79,54,53,41.92,64.5,7.96,100.9,Bajra
82,53,49,42.22,60.67,7.93,105.01,Bajra
77,52,51,42.46,60.68,7.98,106.79,Bajra
78,53,50,42.19,62.19,8.05,103.33,Bajra
78,55,49,42.32,60.12,8.0,106.72,Bajra
78,47,49,41.5,64.23,7.9,104.37,Bajra
78,50,48,42.19,63.35,7.93,104.98,Bajra
81,55,47,41.51,60.98,7.96,106.35,Bajra
84,56,45,42.1,63.37,7.93,104.48,Bajra
73,55,47,41.32,62.34,7.93,105.12,Bajra
83,54,50,41.99,62.4,7.99,105.47,Bajra
81,56,48,41.86,65.42,7.87,103.22,Bajra
81,54,49,41.89,62.49,8.17,107.83,Bajra
81,52,51,42.5,60.92,7.91,103.3,Bajra
80,53,49,42.32,61.01,7.93,102.22,Bajra
78,52,45,41.93,62.99,7.92,103.09,Bajra
78,54,48,42.42,63.08,8.02,106.43,Bajra
80,56,49,42.25,61.77,8.03,102.43,Bajra
78,49,50,42.46,62.39,8.09,106.37,Bajra
78,55,50,41.62,61.83,7.91,108.34,Bajra
85,53,50,42.07,63.36,7.81,107.32,Bajra
81,51,47,41.56,62.57,7.94,105.85,Bajra
82,57,54,42.1,63.9,7.91,106.54,Bajra
80,54,51,42.46,62.45,8.1,110.63,Bajra
80,55,51,42.28,60.96,8.22,103.47,Bajra
79,59,46,41.64,62.81,8.06,104.28,Bajra
79,55,48,41.62,65.12,8.04,103.85,Bajra
79,58,48,41.57,63.31,8.1,104.68,Bajra
79,52,53,42.6,61.69,8.01,99.77,Bajra
81,53,51,41.6,59.93,8.01,104.27,Bajra
81,57,52,42.16,61.8,7.97,101.41,Bajra
80,56,48,42.9,60.22,8.06,108.52,Bajra
78,56,50,40.97,62.01,8.05,109.32,Bajra
82,54,48,41.13,60.16,7.99,105.87,Bajra
79,50,51,42.59,63.95,8.03,100.79,Bajra
79,50,54,41.82,59.68,7.87,98.76,Bajra
82,55,49,41.25,66.2,8.03,108.64,Bajra
79,55,49,41.64,61.84,7.92,105.07,Bajra
84,53,49,41.68,62.53,8.04,105.58,Bajra
88,66,59,34.7,79.66,6.73,134.48,Ragi
91,65,59,34.38,81.78,6.84,139.8,Ragi
88,67,57,34.99,80.83,6.9,138.43,Ragi
91,68,57,32.9,77.89,6.9,138.82,Ragi
88,62,59,32.86,81.22,7.01,140.08,Ragi
88,66,58,34.06,79.9,6.86,137.55,Ragi
93,66,55,34.46,79.27,6.97,137.49,Ragi
84,66,58,33.22,80.94,6.84,140.93,Ragi
92,63,56,34.47,81.34,6.91,138.95,Ragi
94,67,60,34.71,81.55,6.66,140.58,Ragi
90,69,62,33.99,80.03,7.02,141.63,Ragi
89,68,58,33.89,80.24,6.93,138.38,Ragi
90,65,58,34.44,81.71,6.88,135.68,Ragi
91,64,53,34.13,82.21,6.83,142.23,Ragi
90,63,58,33.11,82.0,6.69,138.55,Ragi
87,66,57,35.09,81.54,7.01,138.19,Ragi
86,68,60,33.2,81.77,7.0,132.34,Ragi
87,64,56,33.95,81.68,6.8,138.46,Ragi
89,65,56,33.04,81.19,6.98,135.38,Ragi
91,65,57,33.49,80.5,6.98,136.07,Ragi
90,65,60,34.21,80.08,6.91,138.23,Ragi
91,67,58,34.18,81.29,7.01,135.72,Ragi
90,67,61,34.65,80.21,6.76,139.37,Ragi
91,63,57,34.63,82.38,7.13,139.96,Ragi
91,67,57,34.32,79.24,6.89,130.55,Ragi
89,66,54,34.6,80.2,6.82,137.52,Ragi
91,65,59,33.54,82.71,6.97,140.42,Ragi
86,65,54,33.73,82.18,7.02,137.22,Ragi
88,66,57,33.43,80.12,6.84,136.37,Ragi
91,66,58,33.77,82.72,6.94,137.12,Ragi
92,65,58,33.81,80.06,7.06,136.07,Ragi
86,66,58,34.04,80.6,6.96,133.76,Ragi
90,66,58,33.11,79.59,6.96,136.54,Ragi
89,64,58,34.42,80.97,6.84,136.62,Ragi
93,66,56,33.95,78.84,6.96,137.95,Ragi
91,64,59,34.36,80.69,7.05,135.23,Ragi
90,69,54,34.42,83.21,6.98,139.1,Ragi
91,63,57,34.4,83.13,6.84,136.68,Ragi
90,68,59,33.29,79.59,6.87,140.23,Ragi
88,68,54,34.38,81.92,6.93,140.54,Ragi
87,64,57,33.88,79.59,6.79,135.4,Ragi
91,69,55,33.19,79.98,6.96,137.95,Ragi
90,68,57,33.7,80.29,6.94,139.6,Ragi
92,64,60,33.07,80.16,6.85,137.11,Ragi
88,64,56,33.74,81.61,6.97,143.23,Ragi
88,68,57,34.29,83.15,6.92,132.83,Ragi
91,62,62,33.69,80.09,7.09,135.04,Ragi
89,66,55,34.32,77.77,6.78,137.65,Ragi
89,66,57,33.97,80.71,6.82,134.4,Ragi
91,67,60,33.93,83.34,6.9,139.5,Ragi
92,64,53,34.35,80.75,6.82,136.76,Ragi
90,67,61,34.34,78.48,7.01,135.26,Ragi
92,65,57,34.3,80.25,6.84,140.67,Ragi
88,64,57,34.42,80.65,7.03,138.8,Ragi
90,65,60,33.33,82.39,6.78,139.24,Ragi
90,64,55,33.95,82.72,7.03,136.26,Ragi
88,62,56,34.4,83.87,6.89,142.34,Ragi
93,67,59,34.85,80.37,6.73,140.41,Ragi
88,67,56,35.23,81.9,6.7,140.44,Ragi
90,65,59,33.09,81.29,6.96,137.88,Ragi
91,64,56,33.76,80.96,6.9,135.61,Ragi
92,66,57,34.72,83.08,6.78,137.98,Ragi
89,64,59,34.34,80.27,7.2,140.0,Ragi
91,66,55,33.28,83.08,6.85,133.19,Ragi
88,67,55,33.37,82.04,6.9,130.9,Ragi
90,63,56,34.4,82.89,6.86,132.0,Ragi
91,68,61,33.93,81.83,6.72,136.46,Ragi
91,64,57,33.45,82.02,6.9,137.2,Ragi
91,65,58,34.28,81.3,6.97,137.17,Ragi
88,68,56,34.37,80.54,6.99,137.75,Ragi
89,68,64,34.64,80.39,6.97,136.97,Ragi
93,69,60,34.25,83.41,7.14,134.72,Ragi
88,66,58,33.78,78.09,6.84,140.33,Ragi
88,66,57,34.27,80.22,6.78,140.81,Ragi
92,66,55,34.5,83.06,6.86,138.43,Ragi
88,65,57,32.71,79.85,6.67,137.03,Ragi
88,62,58,33.96,81.81,6.76,140.8,Ragi
89,60,59,33.54,83.26,6.85,136.46,Ragi
92,66,60,33.3,79.85,6.97,141.43,Ragi
92,65,57,33.92,80.84,6.75,136.23,Ragi
90,65,57,34.38,80.54,6.89,142.49,Ragi
86,66,58,34.2,81.34,6.92,136.06,Ragi
92,64,60,33.94,80.47,6.89,138.76,Ragi
88,64,59,33.95,80.22,7.04,139.22,Ragi
91,66,55,33.69,82.41,6.93,141.64,Ragi
88,63,60,33.46,79.0,6.9,135.75,Ragi
90,64,56,33.76,79.33,6.72,137.76,Ragi
90,69,55,33.56,83.61,6.83,142.73,Ragi
86,68,59,34.38,77.97,6.9,134.25,Ragi
91,65,53,33.89,79.84,6.99,142.23,Ragi
90,64,56,34.29,80.63,6.96,142.02,Ragi
87,66,55,32.76,81.5,6.92,135.98,Ragi
94,64,55,34.15,79.25,6.87,141.25,Ragi
89,60,56,34.3,79.51,7.02,137.35,Ragi
89,64,58,33.53,81.95,6.74,138.13,Ragi
84,67,58,33.84,79.35,6.95,136.04,Ragi
92,64,56,34.8,82.44,6.87,139.14,Ragi
89,66,58,33.18,80.6,6.95,140.85,Ragi
88,65,57,33.65,82.72,6.89,136.61,Ragi
86,66,56,33.71,78.95,6.9,137.14,Ragi
91,67,56,34.48,81.18,6.94,139.68,Ragi
90,67,60,34.07,80.75,6.9,136.95,Ragi
92,68,59,34.79,78.82,6.87,140.94,Ragi
89,66,63,33.2,80.6,7.09,139.16,Ragi
94,65,56,33.99,81.28,6.77,143.89,Ragi
91,64,58,33.77,79.6,7.0,142.63,Ragi
91,64,55,34.43,80.27,6.88,139.85,Ragi
89,63,60,34.34,80.49,6.75,142.73,Ragi
88,63,56,33.96,80.23,6.93,137.65,Ragi
91,64,57,34.1,80.72,6.97,138.6,Ragi
89,63,56,33.92,80.1,6.86,132.49,Ragi
92,64,60,34.19,81.23,6.88,138.34,Ragi
88,67,57,33.55,81.99,6.87,128.93,Ragi
86,68,59,33.65,80.28,6.82,137.05,Ragi
90,67,57,34.06,80.36,6.85,140.06,Ragi
88,65,57,34.1,80.89,6.89,138.51,Ragi
93,65,54,35.01,81.78,6.96,138.23,Ragi
92,66,60,34.15,80.86,6.97,135.99,Ragi
93,70,53,33.43,79.24,6.85,135.45,Ragi
91,66,57,33.4,82.38,6.94,138.08,Ragi
95,63,58,33.51,82.54,6.88,137.81,Ragi
91,63,55,33.91,82.09,7.03,138.25,Ragi
88,65,57,34.23,82.41,7.0,139.01,Ragi
92,64,59,33.85,80.43,6.75,136.72,Ragi
90,68,57,34.63,80.2,6.87,135.74,Ragi
91,65,56,33.72,84.65,6.98,137.99,Ragi
92,66,58,33.54,79.2,6.64,141.51,Ragi
88,68,59,34.11,80.73,6.86,136.19,Ragi
89,66,56,33.7,82.01,7.03,138.87,Ragi
87,67,59,35.17,80.05,6.81,132.05,Ragi
90,61,60,34.22,78.5,6.98,140.04,Ragi
93,65,56,34.8,81.91,6.89,133.26,Ragi
87,66,56,33.67,83.28,7.01,138.33,Ragi
88,64,59,33.85,78.5,6.9,139.54,Ragi
95,63,58,34.53,81.83,6.74,137.43,Ragi
92,63,58,33.58,78.99,6.91,140.11,Ragi
88,64,59,34.01,77.73,6.88,138.5,Ragi
90,66,58,34.44,77.88,6.77,138.18,Ragi
87,68,59,33.66,78.55,7.03,145.63,Ragi
89,66,56,34.31,83.71,6.93,134.64,Ragi
93,65,62,32.22,80.0,6.78,135.32,Ragi
91,66,61,33.55,80.67,6.74,136.0,Ragi
91,64,56,34.14,80.16,7.02,142.16,Ragi
91,66,59,33.26,80.96,6.88,141.53,Ragi
89,64,58,34.18,79.95,6.95,140.4,Ragi
89,67,57,33.19,82.17,6.93,135.24,Ragi
90,71,57,34.25,80.56,6.79,139.04,Ragi
91,68,59,33.48,79.59,6.79,139.83,Ragi
90,67,56,33.88,80.51,7.01,135.35,Ragi
91,66,58,33.61,81.31,6.8,136.57,Ragi
94,61,52,26.35,66.15,7.68,107.65,Mustard
94,59,54,26.31,66.57,7.65,105.73,Mustard
98,60,57,26.4,67.51,7.8,103.16,Mustard
89,60,56,25.81,66.06,7.69,109.0,Mustard
95,61,58,26.05,65.45,7.77,103.94,Mustard
95,65,52,25.46,64.7,7.74,108.69,Mustard
96,61,54,26.02,66.61,7.57,107.76,Mustard
94,61,58,26.1,64.92,7.66,102.32,Mustard
96,56,55,25.47,62.37,7.85,104.64,Mustard
94,60,54,26.69,63.29,7.64,107.96,Mustard
97,63,57,26.09,67.02,7.5,103.3,Mustard
97,57,56,26.41,63.87,7.78,104.23,Mustard
93,57,57,27.25,63.71,7.61,102.37,Mustard
92,60,54,27.25,65.41,7.82,109.62,Mustard
93,58,58,25.86,65.73,7.83,106.74,Mustard
96,61,56,26.45,65.33,7.65,105.25,Mustard
94,61,62,25.75,63.55,7.56,100.68,Mustard
94,61,55,26.39,65.43,7.9,106.16,Mustard
97,60,53,26.23,66.06,7.75,103.26,Mustard
93,61,58,26.18,64.05,7.55,104.16,Mustard
94,63,58,26.51,64.8,7.63,113.0,Mustard
94,62,52,27.45,63.19,7.53,106.41,Mustard
94,61,54,26.07,62.58,7.79,100.98,Mustard
94,61,56,26.22,64.68,7.64,104.18,Mustard
95,59,53,26.2,65.54,7.8,102.11,Mustard
93,59,58,26.28,68.0,7.75,103.57,Mustard
92,59,57,26.01,65.17,7.69,101.48,Mustard
92,60,55,26.03,67.31,7.7,104.77,Mustard
95,61,57,26.23,66.81,7.59,104.73,Mustard
94,58,60,27.42,62.79,7.53,103.79,Mustard
94,59,57,25.83,64.74,7.83,106.16,Mustard
94,62,54,25.94,66.06,7.72,102.33,Mustard
94,58,55,26.24,66.18,7.67,106.27,Mustard
96,58,55,26.39,65.2,7.69,104.46,Mustard
96,58,55,26.8,63.63,7.65,111.78,Mustard
96,62,55,25.82,65.83,7.75,101.52,Mustard
90,57,57,26.62,68.19,7.77,104.21,Mustard
94,61,54,25.84,63.44,7.93,102.9,Mustard
96,62,57,25.47,66.29,7.86,100.02,Mustard
94,61,54,25.57,63.62,7.61,103.64,Mustard
91,59,52,25.89,65.24,7.64,106.42,Mustard
93,60,57,25.97,65.94,7.71,106.48,Mustard
94,56,54,26.09,66.81,7.67,104.47,Mustard
91,62,56,25.02,65.53,7.71,103.18,Mustard
92,63,53,26.36,66.04,7.66,106.36,Mustard
92,59,58,25.2,65.11,7.64,104.86,Mustard
96,58,58,26.17,67.1,7.66,110.66,Mustard
93,58,57,25.14,66.68,7.86,101.08,Mustard
98,56,54,25.64,64.05,7.49,102.14,Mustard
95,62,53,25.84,65.61,7.67,100.85,Mustard
92,62,56,25.56,67.99,7.63,107.27,Mustard
96,60,55,27.13,66.74,7.72,107.86,Mustard
94,64,55,25.42,66.46,7.66,107.03,Mustard
92,60,54,25.48,63.18,7.74,103.2,Mustard
94,61,57,25.6,63.8,7.75,101.1,Mustard
96,57,57,26.39,65.29,7.79,104.02,Mustard
94,60,53,25.7,65.95,7.71,105.28,Mustard
95,61,56,26.87,67.72,7.71,113.08,Mustard
93,63,52,24.92,64.79,7.68,104.01,Mustard
91,60,58,26.66,64.75,7.69,110.81,Mustard
96,59,56,25.79,65.21,7.8,106.32,Mustard
93,56,54,26.24,64.89,7.76,105.65,Mustard
92,60,55,25.46,65.76,7.67,102.62,Mustard
96,61,55,25.66,66.43,7.61,108.21,Mustard
96,60,52,26.73,66.07,7.69,106.13,Mustard
92,60,55,25.8,65.86,7.84,102.97,Mustard
93,65,54,25.89,67.44,7.74,109.96,Mustard
96,59,53,26.19,63.93,7.82,105.03,Mustard
94,59,57,26.16,65.33,7.9,113.95,Mustard
97,60,56,26.27,63.9,7.88,107.96,Mustard
94,60,54,26.09,68.45,7.61,105.81,Mustard
97,62,55,26.08,67.69,7.57,105.35,Mustard
94,60,57,26.06,65.92,7.74,115.91,Mustard
95,60,56,26.16,64.35,7.92,102.26,Mustard
90,62,57,26.36,65.76,7.6,108.37,Mustard
92,58,57,25.89,66.9,7.77,104.46,Mustard
94,60,54,26.75,63.1,7.84,103.64,Mustard
94,64,57,26.5,65.23,7.8,106.84,Mustard
93,60,57,25.23,65.76,7.79,103.56,Mustard
93,62,57,25.81,63.28,7.56,108.18,Mustard
93,56,56,25.45,63.05,7.66,101.86,Mustard
96,58,55,26.01,65.87,7.65,105.93,Mustard
